Index,EstimatedSquareSum
1,550934
2,556718
3,561078
4,569860
5,572066
6,574566
7,574922
8,575704
9,578532
10,579936
11,581446
12,583404
13,584426
14,585268
15,587298
16,587592
17,587660
18,590362
19,590492
20,591104
21,592348
22,593300
23,594090
24,594098
25,596860
26,597172
27,598096
28,598898
29,599140
30,599326
31,599402
32,599762
33,603448
34,603448
35,603672
36,604346
37,605802
38,608808
39,608818
40,612226
41,612618
42,613674
43,613792
44,614626
45,615258
46,615398
47,616120
48,616856
49,617088
50,617626
51,618610
52,618914
53,619772
54,620858
55,621676
56,623226
57,623724
58,624066
59,625248
60,625530
61,625746
62,627154
63,627262
64,628770
65,629906
66,632030
67,632386
68,633050
69,633654
70,634100
71,637268
72,638456
73,640256
74,641366
75,642528
76,642968
77,644166
78,646034
79,646364
80,646732
81,646840
82,647176
83,647822
84,647856
85,648200
86,650222
87,652188
88,653340
89,653900
90,655076
91,661594
92,661912
93,662946
94,663308
95,667138
96,670148
97,673152
98,674646
99,684934
100,688360
-1,618092
