Index,EstimatedSquareSum
1,1192940
2,1193524
3,1195518
4,1195656
5,1195888
6,1195964
7,1196112
8,1196216
9,1196734
10,1197052
11,1197346
12,1197540
13,1197652
14,1197690
15,1198106
16,1198116
17,1198500
18,1198616
19,1198730
20,1198752
21,1198772
22,1198862
23,1198888
24,1198898
25,1198956
26,1198960
27,1198986
28,1199010
29,1199064
30,1199072
31,1199076
32,1199196
33,1199404
34,1199506
35,1199830
36,1199862
37,1199994
38,1200124
39,1200192
40,1200192
41,1200216
42,1200228
43,1200242
44,1200296
45,1201008
46,1201064
47,1201182
48,1201210
49,1201310
50,1201358
51,1201468
52,1201664
53,1201698
54,1201868
55,1202058
56,1202108
57,1202332
58,1202428
59,1202524
60,1202574
61,1202642
62,1202668
63,1202722
64,1202828
65,1203206
66,1203218
67,1203344
68,1203358
69,1203488
70,1203568
71,1203744
72,1203814
73,1204170
74,1204362
75,1204458
76,1205356
77,1205698
78,1205784
79,1205834
80,1206254
81,1206412
82,1206738
83,1206836
84,1206994
85,1207026
86,1207114
87,1207188
88,1207836
89,1208008
90,1208182
91,1208312
92,1208452
93,1208716
94,1208902
95,1209132
96,1209228
97,1211216
98,1211218
99,1211956
100,1212954
-1,1202848
